id,title,overview,genres,keywords,poster_path,original_language,runtime,release_date,vote_average,popularity,cast,crew
1,The Sample Comfort,A warm comforting story about friendship and second chances.,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""friendship""}, {""id"": 2, ""name"": ""warm""}]",/m1.jpg,en,95,2015-06-12,7.2,12.5,"[{""name"": ""Actor A""}]","[{""job"": ""Director"", ""name"": ""Director A""}]"
2,Relaxing Evening,Soft melodies and gentle humor make this an easy watch after a long day.,"[{""id"": 1, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""relaxing""}, {""id"": 2, ""name"": ""light""}]",/m2.jpg,en,88,2018-11-02,6.8,8.3,"[{""name"": ""Actor B""}]","[{""job"": ""Director"", ""name"": ""Director B""}]"
3,Mind Bender,A cerebral sci-fi that twists perception and reality.,"[{""id"": 1, ""name"": ""Science Fiction""}, {""id"": 2, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""mind-bending""}, {""id"": 2, ""name"": ""twist""}]",/m3.jpg,en,150,2014-09-07,8.3,22.1,"[{""name"": ""Actor C""}]","[{""job"": ""Director"", ""name"": ""Director C""}]"
4,Uplift,An inspiring tale that uplifts and motivates.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""inspiring""}, {""id"": 2, ""name"": ""hope""}]",/m4.jpg,en,110,2016-03-15,7.6,10.2,"[{""name"": ""Actor D""}]","[{""job"": ""Director"", ""name"": ""Director D""}]"
5,Thrill Night,High-octane thrills and edge-of-seat suspense.,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""suspense""}, {""id"": 2, ""name"": ""action""}]",/m5.jpg,en,105,2019-07-19,7.9,18.4,"[{""name"": ""Actor E""}]","[{""job"": ""Director"", ""name"": ""Director E""}]"
6,The Quiet Shore,A reflective English drama about healing and new beginnings.,"[{""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""healing""}, {""id"": 2, ""name"": ""calm""}]",/m6.jpg,en,118,2020-02-14,7.4,14.0,"[{""name"": ""Emma Stone""}]","[{""job"": ""Director"", ""name"": ""Mike Leigh""}]"
101,3 Idiots,Two friends search for their lost college buddy while recalling reckless youth and chasing real passion.,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""friendship""}, {""id"": 2, ""name"": ""college""}, {""id"": 3, ""name"": ""inspiring""}]",/m101.jpg,hi,170,2009-12-25,8.4,52.0,"[{""name"": ""Aamir Khan""}]","[{""job"": ""Director"", ""name"": ""Rajkumar Hirani""}]"
102,Dangal,A former wrestler trains his daughters to become world-class fighters against all odds.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""sports""}, {""id"": 2, ""name"": ""family""}, {""id"": 3, ""name"": ""underdog""}]",/m102.jpg,hi,161,2016-12-23,8.3,48.5,"[{""name"": ""Aamir Khan""}]","[{""job"": ""Director"", ""name"": ""Nitesh Tiwari""}]"
103,Zindagi Na Milegi Dobara,Three friends on a bachelor road trip confront fear friendship and what they truly want from life.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""travel""}, {""id"": 2, ""name"": ""friendship""}, {""id"": 3, ""name"": ""life""}]",/m103.jpg,hi,155,2011-07-15,8.1,35.2,"[{""name"": ""Hrithik Roshan""}]","[{""job"": ""Director"", ""name"": ""Zoya Akhtar""}]"
104,Queen,A shy woman embarks on a solo honeymoon trip and discovers independence confidence and joy.,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""empowerment""}, {""id"": 2, ""name"": ""travel""}, {""id"": 3, ""name"": ""growth""}]",/m104.jpg,hi,146,2014-03-07,8.2,31.0,"[{""name"": ""Kangana Ranaut""}]","[{""job"": ""Director"", ""name"": ""Vikas Bahl""}]"
105,Andhadhun,A blind pianist becomes entangled in a twisting mystery full of dark humor and surprises.,"[{""id"": 1, ""name"": ""Thriller""}, {""id"": 2, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""mystery""}, {""id"": 2, ""name"": ""twist""}, {""id"": 3, ""name"": ""dark""}]",/m105.jpg,hi,139,2018-10-05,8.3,29.8,"[{""name"": ""Ayushmann Khurrana""}]","[{""job"": ""Director"", ""name"": ""Sriram Raghavan""}]"
106,Dil Chahta Hai,Three inseparable friends navigate love ambition and the ache of growing apart.,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""friendship""}, {""id"": 2, ""name"": ""youth""}, {""id"": 3, ""name"": ""nostalgia""}]",/m106.jpg,hi,183,2001-08-10,8.0,27.5,"[{""name"": ""Aamir Khan""}]","[{""job"": ""Director"", ""name"": ""Farhan Akhtar""}]"
